Name,City,Venue,Quote1,Quote2,Occasion,MatchConfidence,DuplicateFlag,VenueID,FoodboardID,Cuisine,RawVenue,TranscriptFile,match_1,score_1,match_2,score_2,match_3,score_3
Grant Smillie,Melbourne,Apollo Inn,"A little secret hidden bar by Andrew McConnell. Used to be a laundry back in the day, now a 12 seater.",Some of the most amazing cocktails in Melbourne. Prawn sandwich to die for.,,high,,venue.QVVTLlZJQy4xMDAwNjYzNg==,foodboard.lp3NcYVbBvrkM5Lb7n3RX,Cocktail,Apollo Inn,AO_Grant Smillie_V2_IG.docx,,,,,,
Grant Smillie,Melbourne,ST. ALi Coffee Roasters - South Melbourne (transcribed as 'St. Ali'),"St. Ali, in South Melbourne. Ask for Salvatore, he'll look after you. Legend.",,coffee,corrected,,venue.QVVTLlZJQy4xMDAwMzEyMA==,foodboard.lp3NcYVbBvrkM5Lb7n3RX,Coffee | Brunch,St. Ali,AO_Grant Smillie_V2_IG.docx,,,,,,
Grant Smillie,Melbourne,Gilson South Yarra (transcribed as 'Gilson'),"Stop at the end for a little coffee at Gilson. You've just walked three and a half K, so you probably deserve it.",,coffee,corrected,,venue.QVVTLlZJQy4xMDAwNjg0OA==,foodboard.lp3NcYVbBvrkM5Lb7n3RX,Italian,Gilson,AO_Grant Smillie_V2_IG.docx,,,,,,
Grant Smillie,Melbourne,A1 Bakery - Brunswick (transcribed as 'A1'),"A1, get yourself a pastry. Some of the best.",,,corrected,,venue.QVVTLlZJQy4xMDAwNjIzMg==,foodboard.lp3NcYVbBvrkM5Lb7n3RX,Middle Eastern,A1,AO_Grant Smillie_V2_IG.docx,,,,,,
Nam Nguyen,Melbourne,Jim's Greek Tavern 1st Greek Taverna (transcribed as 'Jim's Greek Tavern in Collingwood'),"Going with a small group, large group, BYO as well. Big drinks, food.","She can probably use a six-pack of beer, a couple bottles of wine.",group dining,corrected,,venue.QVVTLlZJQy4xMDAwMjUwMw==,foodboard.PVdU2IfhA9jpJGIVg9kUj,Greek,Jim's Greek Tavern in Collingwood,AO_Nam Nguyen_V1.docx,,,,,,
Nam Nguyen,Melbourne,M Yong Tofu (transcribed as 'M. Yong Tofu in Bloomington'),"Legit Malaysian restaurant. There's a lot of fake places these days, I reckon.",,,corrected,,venue.QVVTLlZJQy4xMDAwNTEzNw==,foodboard.PVdU2IfhA9jpJGIVg9kUj,Malaysian,M. Yong Tofu in Bloomington,AO_Nam Nguyen_V1.docx,,,,,,
Nam Nguyen,Melbourne,Axil Coffee Roasters,"They're in North Melbourne. Matt and Joe look after us. Fair trade, organic coffee beans from Vietnam.",,coffee,fuzzy_matched,,,,,Rumble coffee roasters,AO_Nam Nguyen_V1.docx,Axil Coffee Roasters,74,Rumble Coffee Roasters - Thompson St Roastery (Retail bean sales only),71,Dukes Coffee Roasters,70
Nam Nguyen,Melbourne,Old Palm Liquor (transcribed as 'Old Palm Licker'),"If we're getting away from the kids, we're heading to Old Palm Licker. Having a nice meal.",,,corrected,,venue.QVVTLlZJQy4xMDAwMjQxNA==,foodboard.PVdU2IfhA9jpJGIVg9kUj,Modern Australian,Old Palm Licker,AO_Nam Nguyen_V1.docx,,,,,,
Nam Nguyen,Melbourne,Bahama Gold (transcribed as 'a half of gold'),"Heading next door to a half of gold, grabbing nice chaffery from the fridge.",,,corrected,,venue.QVVTLlZJQy4xMDAwNjU1OQ==,foodboard.PVdU2IfhA9jpJGIVg9kUj,Cocktail,a half of gold,AO_Nam Nguyen_V1.docx,,,,,,
Nam Nguyen,Melbourne,A1 Bakery Fairfield (transcribed as 'A1'),"A1, which cheese pie can't go wrong.",,,corrected,,venue.QVVTLlZJQy4xMDAwMzY2Mg==,foodboard.PVdU2IfhA9jpJGIVg9kUj,,A1,AO_Nam Nguyen_V1.docx,,,,,,
